무더위쉼터식별자,무더위쉼터명,주소,상세주소,유형,공간(면적),수용인원,선풍기수,에어컨수,냉방여부,휴게시설여부,야간운영여부,온도정보,전기사용여부,안내표지판여부,홍보여부,주말운영여부,위도,경도,담당자,담당자번호,담당자2,담당자2번호,담당자3,담당자3번호,사용여부,삭제여부
excel_00115,고산2동행정복지센터,대구광역시 수성구 달구벌대로 3091,,행정복지센터,578,50,7,3,Y,Y,N,Y,N,Y,Y,N,35.8436212,128.6951983,서○○,053-666-2891,박○○,053-666-2558,장○○,053-666-3953,Y,N
excel_00116,시지경로당,대구광역시 수성구 달구벌대로619길 2,,경로당,109,33,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8433179,128.6965376,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00117,청곡복지관,대구광역시 수성구 노변공원로 49-1 ,,복지관,100,30,0,1,Y,Y,N,Y,N,Y,Y,N,35.8380446,128.6986663,서○○,053-666-2891,박○○,053-666-2558,장○○,053-666-3953,Y,N
excel_00118,iM뱅크노변지점,대구광역시 수성구 시지로 55,,은행,173,25,0,6,Y,Y,N,Y,N,Y,Y,N,35.8394554,128.6962831,서○○,053-666-2891,박○○,053-666-2558,장○○,053-666-3953,Y,N
excel_00119,대흥경로당,대구광역시 수성구 월드컵로6길 54,,경로당,122,36,4,2,Y,Y,N,Y,Y,Y,Y,N,35.832207,128.6846408,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00120,연호경로당,대구광역시 수성구 범안로91길 70,,경로당,203,61,2,2,Y,Y,N,Y,Y,Y,Y,N,35.837486,128.6676607,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00121,가천경로당,대구광역시 수성구 고모로24길 25,,경로당,191,57,1,2,Y,Y,N,Y,Y,Y,Y,Y,35.853003,128.6862719,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00122,고모경로당,대구광역시 수성구 고모로39길 20,,경로당,139,42,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8577205,128.6769652,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00123,노변경로당,대구광역시 수성구 노변로 77,,경로당,194,58,4,3,Y,Y,N,Y,Y,Y,Y,N,35.8389374,128.6999743,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00124,이천경로당,대구광역시 수성구 달구벌대로574길 192-1 ,,경로당,128,38,3,3,Y,Y,N,Y,Y,Y,Y,Y,35.8387818,128.6550514,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00125,삼덕동경로당,대구광역시 수성구 범안로64길 18-11 ,,경로당,67,20,0,2,Y,Y,N,Y,Y,Y,Y,Y,35.828223,128.6688517,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00126,팔현경로당,대구광역시 수성구 팔현길 88-5 ,,경로당,79,23,2,1,Y,Y,N,Y,Y,Y,Y,N,35.867883,128.6706441,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
excel_00127,매호공원경로당,대구광역시 수성구 천을로23길 5,,경로당,20,6,4,2,Y,Y,N,Y,Y,Y,Y,Y,35.8454459,128.7036358,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3987,Y,N
excel_00128,고산3동행정복지센터,대구광역시 수성구 고산로 152,,행정복지센터,20,6,2,1,Y,Y,N,Y,N,Y,Y,N,35.8444349,128.706546,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3987,Y,N
excel_00129,사월동경로당,대구광역시 수성구 달구벌대로 3321-4 ,,경로당,205,36,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8371106,128.7195576,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3987,Y,N
excel_00130,매호경로당,대구광역시 수성구 천을로31길 40,,경로당,64,19,4,2,Y,Y,N,Y,Y,Y,Y,Y,35.8473203,128.7088353,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3987,Y,N
excel_00131,성동경로당,대구광역시 수성구 성동로 166,,경로당,205,62,3,3,Y,Y,N,Y,Y,Y,Y,Y,35.8491164,128.7211185,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3987,Y,N
