대응시설부족도순위,구·군,행정동,행정동코드,미래온열질환위험,지역취약도,보호필요도,시설대응력,시설대응력부족분(100-시설대응력),대응시설부족도,지역취약도결합방법,시설대응력결합방법,미래위험대체처리,미래위험대체처리요약,시설대응력종합모형,그늘막자료상태,시설대응력대체처리·주의
50,달서구,유천동,2729061700,49.89,19.33,37.67,23.14,76.86,49.43,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
51,서구,상중이동,2717067500,40.83,42.43,41.47,32.03,67.97,49.42,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
52,남구,봉덕2동,2720054000,46.92,32.88,41.3,31.67,68.33,49.41,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
53,달서구,본동,2729065000,49.89,39.31,45.66,42.16,57.84,49.31,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
54,동구,안심3동,2714074200,35.39,37.2,36.11,19.91,80.09,49.3,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
55,달서구,상인2동,2729062500,49.89,44.6,47.77,47.47,52.53,49.2,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
56,달서구,이곡2동,2729057700,35.97,37.05,36.4,23.01,76.99,48.58,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
57,서구,내당4동,2717054000,41.29,55.92,47.14,48.64,51.36,48.41,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
58,달서구,본리동,2729059000,49.89,34.24,43.63,41.59,58.41,48.06,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
59,서구,비산2·3동,2717056500,41.29,72.47,53.76,66.11,33.89,47.8,구·군+행정동명(구분기호 정규화: 비산2·3동↔비산2.3동),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
60,동구,동촌동,2714065500,35.39,41,37.63,29.44,70.56,47.51,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
61,동구,안심1동,2714072000,35.39,46.14,39.69,34.3,65.7,47.49,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
62,달성군,논공읍,2771025300,25.94,45.22,33.65,20.45,79.55,47.42,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 출장소 인구를 해당 읍에 합산
63,달서구,용산1동,2729057100,35.97,34.75,35.48,24.76,75.24,47.41,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
64,남구,대명5동,2720060000,46.92,34.34,41.89,41.72,58.28,46.81,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
65,동구,불로·봉무동,2714062000,39.8,30.37,36.03,28.2,71.8,46.76,구·군+행정동명(구분기호 정규화: 불로·봉무동↔불로.봉무동),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
66,서구,평리6동,2717066100,41.29,42.87,41.92,42.48,57.52,46.6,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
67,달서구,두류3동,2729055000,36.39,40.06,37.86,35.09,64.91,45.97,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
68,북구,검단동,2723068000,11.59,59.99,30.95,19.45,80.55,45.83,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
69,동구,방촌동,2714067000,35.39,57.27,44.14,50.48,49.52,45.75,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
70,서구,비산5동,2717059000,41.29,72.39,53.73,72.95,27.05,45.73,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
71,동구,안심2동,2714073000,35.39,23.78,30.75,19.4,80.6,45.71,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
72,달서구,"두류1,2동",2729053500,36.39,44.36,39.58,40.33,59.67,45.61,"구·군+행정동명(구분기호 정규화: 두류1,2동↔두류1.2동)",행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
73,달성군,다사읍,2771025600,37.94,19.91,30.73,20.61,79.39,45.33,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 출장소 인구를 해당 읍에 합산
74,동구,효목2동,2714060000,39.8,52.53,44.89,54.85,45.15,44.97,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
75,동구,안심4동,2714074700,35.39,40.7,37.51,37.97,62.03,44.87,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
76,서구,내당2·3동,2717052500,41.29,65.83,51.11,70.89,29.11,44.51,구·군+행정동명(구분기호 정규화: 내당2·3동↔내당2.3동),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
77,서구,비산6동,2717060000,41.29,62.05,49.59,67.99,32.01,44.32,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
78,동구,신천1·2동,2714055500,39.8,63.81,49.4,68.45,31.55,44.05,구·군+행정동명(구분기호 정규화: 신천1·2동↔신천1.2동),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
79,달서구,이곡1동,2729057600,35.97,27.61,32.63,29.3,70.7,44.05,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
80,서구,비산1동,2717055000,41.29,62.55,49.79,69.59,30.41,43.98,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
81,달서구,용산2동,2729057200,35.97,28.7,33.06,31.5,68.5,43.69,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
82,동구,신암1동,2714051000,39.8,51.24,44.38,59.14,40.86,43.32,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
83,달서구,죽전동,2729056300,35.97,42.73,38.67,46.31,53.69,43.18,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
84,서구,평리1동,2717062000,41.29,64.3,50.49,73.92,26.08,43.17,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
85,수성구,범물1동,2726066100,12.14,54.49,29.08,24.04,75.96,43.14,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
86,북구,산격4동,2723063100,11.59,55.77,29.26,25.13,74.87,42.94,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
87,서구,평리4동,2717065000,41.29,51.79,45.49,64.27,35.73,42.56,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
88,북구,침산1동,2723055000,11.59,56.23,29.45,27.3,72.7,42.43,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
89,동구,신암5동,2714054100,39.8,53.41,45.24,64.54,35.46,42.31,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
90,서구,평리3동,2717064000,41.29,48.56,44.2,62.29,37.71,42.25,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
91,동구,혁신동,2714075500,35.39,12.06,26.06,20.07,79.93,42.22,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
92,북구,노원동,2723079000,11.59,53.61,28.4,26.75,73.25,41.86,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
93,서구,원대동,2717069500,41.29,52.96,45.96,68.08,31.92,41.75,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
94,달성군,가창면,2771031000,6.2,52.89,24.88,20.52,79.48,41.26,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
95,달서구,상인3동,2729062600,5.49,51.59,23.93,18.51,81.49,41.2,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
96,수성구,만촌1동,2726055000,29.07,36.45,32.02,38.01,61.99,41.01,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
